"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-07-03 02:02:09 PM","2026-07-03 03:32:09 PM","RESOLVED","BHS-NAS-MPLS01","PEM 0: Temperature is above warning threshold: >50","1h 30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-03 02:02:09 PM","2026-07-03 05:47:09 PM","RESOLVED","BHS-NAS-MPLS01","FPC @ 2/*/*: Temperature is above warning threshold: >50","3h 45m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-03 02:02:09 PM","2026-07-03 05:47:09 PM","RESOLVED","BHS-NAS-MPLS01","FPC @ 1/*/*: Temperature is above warning threshold: >50","3h 45m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-03 02:02:09 PM","2026-07-03 05:47:09 PM","RESOLVED","BHS-NAS-MPLS01","FPC @ 0/*/*: Temperature is above warning threshold: >50","3h 45m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-02 10:47:09 AM","2026-07-02 06:02:09 PM","RESOLVED","BHS-NAS-MPLS01","AFEB Exhaust A temperature sensor: Temperature is above warning threshold: >50","7h 15m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-02 01:01:09 AM","","PROBLEM","BHS-NAS-MPLS01","AFEB Exhaust B temperature sensor: Temperature is above warning threshold: >50","15d 10h 19m","No","Actions (2)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Information","2026-07-01 04:00:00 AM","","PROBLEM","BHS-NAS-MPLS01","Generic SNMP: System name has changed (new name: BHS-NAS-MPLS01-RE1)","16d 7h 20m","No","","alerttype: configuration changes, class: network, component: system, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Average","2026-06-30 08:35:47 PM","2026-06-30 09:15:47 PM","RESOLVED","BHS-NAS-MPLS01","MPLS LSP BHS-NAS-MPLS01_to_BAH-EMR-MPLS01: Operational status is down  |  ( From {#MPLSLSP_FROM} to {#MPLSLSP_TO} )","40m","Yes","Messages (1), Actions (5)","alerttype: availability, class: network, component: mplslsp, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-29 11:56:09 PM","2026-06-29 11:57:09 PM","RESOLVED","BHS-NAS-MPLS01","ICMP: Unavailable by ICMP ping","1m","No","Actions (4)","alerttype: availability, class: network, component: icmp, country: bahamas, ip: 190.242.4.16, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Average","2026-06-25 03:35:47 PM","2026-06-25 03:45:47 PM","RESOLVED","BHS-NAS-MPLS01","Interface xe-2/0/0(TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS): Link down","10m","No","Actions (4)","alerttype: availability, alias: TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS, class: network, component: interface, country: bahamas, interface: xe-2/0/0, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-24 10:35:47 AM","2026-06-24 10:45:48 AM","RESOLVED","BHS-NAS-MPLS01","MPLS LSP BHS-NAS-MPLS01_to_BAH-EMR-MPLS01: Operational status is down  |  ( From {#MPLSLSP_FROM} to {#MPLSLSP_TO} )","10m 1s","No","Actions (4)","alerttype: availability, class: network, component: mplslsp, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-21 04:05:47 PM","2026-06-22 11:45:47 AM","RESOLVED","BHS-NAS-MPLS01","MPLS LSP BHS-NAS-MPLS01_to_DMA-ROS-MPLS01: Operational status is down  |  ( From {#MPLSLSP_FROM} to {#MPLSLSP_TO} )","19h 40m","Yes","Messages (1), Actions (5)","alerttype: availability, class: network, component: mplslsp, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-21 04:05:47 PM","2026-06-22 11:45:47 AM","RESOLVED","BHS-NAS-MPLS01","MPLS LSP BHS-NAS-MPLS01_to_SLU-SCI-MPLS01: Operational status is down  |  ( From {#MPLSLSP_FROM} to {#MPLSLSP_TO} )","19h 40m","Yes","Messages (1), Actions (5)","alerttype: availability, class: network, component: mplslsp, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-15 06:25:37 PM","2026-06-15 06:30:10 PM","RESOLVED","BHS-NAS-MPLS01","Module Fan 1 is in (Down or Off) State","4m 33s","No","Actions (4)","alerttype: hardware, class: network, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
