"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"High","2026-04-20 06:45:09 PM","2026-04-20 06:47:10 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m 1s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:35:09 PM","2026-04-20 06:44:10 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","9m 1s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:32:09 PM","2026-04-20 06:34:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:29:09 PM","2026-04-20 06:30:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:26:09 PM","2026-04-20 06:27:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:19:09 PM","2026-04-20 06:20:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 03:07:09 PM","2026-04-20 03:08:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 03:04:09 PM","2026-04-20 03:05:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 02:58:09 PM","2026-04-20 02:59:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 02:54:09 PM","2026-04-20 02:57:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 02:51:09 PM","2026-04-20 02:52:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 02:43:09 PM","2026-04-20 02:46:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 02:40:09 PM","2026-04-20 02:42:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 02:22:09 PM","2026-04-20 02:39:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","17m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 12:13:09 PM","2026-04-20 02:21:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2h 8m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 12:11:09 PM","2026-04-20 12:12:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 12:08:09 PM","2026-04-20 12:10:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 12:06:09 PM","2026-04-20 12:07:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 12:04:09 PM","2026-04-20 12:05:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:58:09 AM","2026-04-20 11:59:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:56:09 AM","2026-04-20 11:57:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:54:09 AM","2026-04-20 11:55:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:49:09 AM","2026-04-20 11:50:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:46:09 AM","2026-04-20 11:47:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:37:09 AM","2026-04-20 09:38:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:31:09 AM","2026-04-20 09:33:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:28:09 AM","2026-04-20 09:29:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:25:09 AM","2026-04-20 09:26:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:22:09 AM","2026-04-20 09:24:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:19:09 AM","2026-04-20 09:20:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:15:09 AM","2026-04-20 09:18:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:12:09 AM","2026-04-20 09:14:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:08:09 AM","2026-04-20 09:11:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 08:41:09 AM","2026-04-20 09:07:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","26m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 07:08:09 AM","2026-04-20 08:40:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 32m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 07:03:09 AM","2026-04-20 07:07:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","4m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 07:00:09 AM","2026-04-20 07:02:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:57:09 AM","2026-04-20 06:59:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","Yes","Messages (1), Actions (5)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
